"virus name","TaxaID","refseq id","Genome.organization"
"Bat rotavirus",1340801,"NC_040405,NC_040406,NC_040407,NC_040408,NC_040409,NC_040410,NC_040411,NC_040412,NC_040413,NC_040414,NC_040415","Segmented"
"Batai virus",80942,"NC_043579,NC_043580,NC_043581","Segmented"
"Batama virus",611709,"NC_038722","Segmented"
"Bayou orthohantavirus",1980459,"NC_038298,NC_038299,NC_038300","Segmented"
"Bean bushy stunt virus",2720886,"NC_055594,NC_060095","Segmented"
"Bean calico mosaic virus",31602,"NC_003504,NC_003505","Segmented"
"Bean chlorosis virus",1227354,"NC_019568,NC_019569","Segmented"
"Bean chlorotic mosaic virus",1227355,"NC_022003","Segmented"
"Bean dwarf mosaic virus",10838,"NC_001930,NC_001931","Segmented"
"Bean golden mosaic virus",10839,"NC_004042,NC_004043","Segmented"
"Bean golden yellow mosaic virus",220340,"NC_001438,NC_001439","Segmented"
"Bean golden yellow mosaic virus-[Dominican Republic]",222445,"NC_038790,NC_038791","Segmented"
"Bean golden yellow mosaic virus-[Mexico]",222447,"AF173555,AF173556","Segmented"
"Bean golden yellow mosaic virus-[Puerto Rico-Japan]",222449,"D00200,D00201","Segmented"
"Bean latent virus",2703869,"NC_055589,NC_060091","Segmented"
"Bean leaf crumple virus",2004460,"NC_043524,NC_060104","Segmented"
"Bean necrotic mosaic virus",1033976,"NC_018070,NC_018071,NC_018072","Segmented"
"Bean pod mottle virus",12260,"NC_003495,NC_003496","Segmented"
"Bean rugose mosaic virus",128790,"NC_028139,NC_028146","Segmented"
"Bean yellow disorder virus",267970,"NC_010560,NC_010561","Segmented"
"Bear Canyon mammarenavirus",192848,"NC_010255,NC_010256","Segmented"
"Beauveria bassiana polymycovirus 1",1740646,"NC_034257,NC_034258,NC_034259,NC_034260","Segmented"
"Beet cryptic virus 1",509923,"NC_011556,NC_011557","Segmented"
"Beet cryptic virus 2",912029,"NC_038845,NC_038846,NC_038847","Segmented"
"Beet cryptic virus 3",29257,"NC_043394","Segmented"
"Beet necrotic yellow vein virus",31721,"NC_003513,NC_003514,NC_003515,NC_003516,NC_003517","Segmented"
"Beet pseudoyellows virus",72750,"NC_005209,NC_005210","Segmented"
"Beet ringspot virus",191547,"NC_003693,NC_003694","Segmented"
"Beet soil-borne mosaic virus",76343,"NC_039224,NC_039225,NC_039226,NC_039227","Segmented"
"Beet soil-borne virus",46436,"NC_003518,NC_003519,NC_003520","Segmented"
"Beet virus Q",71972,"NC_003510,NC_003511,NC_003512","Segmented"
"Beihai barnacle virus 11",1922355,"NC_032517,NC_032520","Segmented"
"Beihai barnacle virus 12",1922356,"NC_032518,NC_032519","Segmented"
"Beihai barnacle virus 13",1922357,"NC_032133,NC_032134","Segmented"
"Beihai horseshoe crab virus 1",1922392,"NC_032521,NC_032522","Segmented"
"Beihai mantis shrimp virus 6",1922433,"NC_032523,NC_032524","Segmented"
"Beihai noda-like virus 11",1922464,"NC_032525,NC_032526","Segmented"
"Beihai partiti-like virus 2",1922504,"NC_032500,NC_032501","Segmented"
"Beihai picobirna-like virus 7",1922524,"NC_032498,NC_032502","Segmented"
"Beihai picobirna-like virus 8",1922525,"NC_032499,NC_032503","Segmented"
"Beihai sesarmid crab virus 3",1922663,"NC_032273,NC_032275","Segmented"
"Beihai sesarmid crab virus 4",1922664,"NC_032272,NC_032274","Segmented"
"Beihai shrimp virus 3",1922669,"NC_033756,NC_033757,NC_033758","Segmented"
"Beihai shrimp virus 5",1922671,"NC_032645,NC_032646","Segmented"
"Beihai shrimp virus 6",1922672,"NC_032647,NC_032648","Segmented"
"Beihai sphaeromadae virus 3",1922709,"NC_032154,NC_032155","Segmented"
"Bellavista virus",1856565,"NC_043621,NC_043622,NC_043623","Segmented"
"Betachrysovirus aspergilli",2164061,"NC_055605,NC_055606,NC_055607,NC_055608","Segmented"
"Bhanja virus",1213620,"NC_027140,NC_027141,NC_027142","Segmented"
"Bimiti virus",1678224,"NC_038723,NC_038724,NC_038725","Segmented"
"Bipolaris maydis botybirnavirus 1",2138326,"NC_040395,NC_040396","Segmented"
"Bipolaris maydis partitivirus 1",1980631,"NC_034514,NC_034524","Segmented"
"Bipolaris maydis partitivirus 2",2483307,"NC_040495,NC_040496,NC_040497","Segmented"
"Birao virus",273358,"NC_043650,NC_043651,NC_043652","Segmented"
"Bitter gourd yellow mosaic virus",2486070,"NC_055539,NC_055540","Segmented"
"Bitter gourd yellow vein virus",1513489,"NC_024894,NC_024895","Segmented"
"Black beetle virus",12285,"NC_001411,NC_002037","Segmented"
"Black currant leaf chlorosis associated virus",1937789,"NC_034390,NC_034408","Segmented"
"Black grass cryptic virus 2",1587517,"NC_026799,NC_026800","Segmented"
"Black grass varicosavirus-like virus",1587515,"NC_026798,NC_026801","Segmented"
"Black medic leaf roll virus",2038729,"NC_023299,NC_023300,NC_023301,NC_023302,NC_023304,NC_023305,NC_023306,NC_023307","Segmented"
"Black raspberry necrosis virus",367301,"NC_008182,NC_008183","Segmented"
"Blackberry chlorotic ringspot virus",339420,"NC_011553,NC_011554,NC_011555","Segmented"
"Blackberry yellow vein-associated virus",404196,"NC_006962,NC_006963","Segmented"
"Blackcurrant reversion virus",65743,"NC_003502,NC_003509","Segmented"
"Blacklegged tick phlebovirus 3",1844920,"NC_055431,NC_055432","Segmented"
"Blainvillea yellow spot virus",536081,"NC_010837,NC_010838","Segmented"
"Blechum interveinal chlorosis virus",1246650,"NC_019035,NC_019036","Segmented"
"Blotched snakehead virus",311176,"NC_005982,NC_005983","Segmented"
"Blueberry latent spherical virus",1071488,"NC_038763,NC_038764","Segmented"
"Blueberry mosaic associated virus",1520332,"NC_024476,NC_036634,NC_036635","Segmented"
"Blueberry necrotic ring blotch virus",1094249,"NC_016084,NC_016085,NC_016086,NC_016087","Segmented"
"Blueberry shock virus",747056,"NC_022250,NC_022251,NC_022252","Segmented"
"Bluetongue virus",40051,"NC_006007,NC_006008,NC_006010,NC_006013,NC_006014,NC_006015,NC_006022,NC_006023,NC_006024,NC_006025","Segmented"
"Bluetongue virus 8",197780,"AM498051,AM498052,AM498053,AM498054,AM498055,AM498056,AM498057,AM498058,AM498059,AM498060","Segmented"
"Bombyx mori densovirus 3",328668,"NC_020927,NC_020928","Segmented"
"Bombyx mori densovirus Zhenjiang",530042,"NC_038376,NC_038377","Segmented"
"Boolarra virus",12286,"NC_004142,NC_004145","Segmented"
"Botryosphaeria dothidea chrysovirus 1",1405299,"NC_034268,NC_034269,NC_034270,NC_034271","Segmented"
"Botryosphaeria dothidea virus 1",1516075,"NC_033476,NC_033477,NC_033494,NC_033495,NC_033496","Segmented"
"Botryotinia fuckeliana partitivirus 1",425010,"NC_010349,NC_010350,NC_010351","Segmented"
"Botrytis porri botybirnavirus 1",1918014,"NC_017990,NC_017991","Segmented"
"Bowe virus",1400425,"NC_034405,NC_034406,NC_034407","Segmented"
"Bozo virus",273349,"NC_043653,NC_043654,NC_043655","Segmented"
"Bracoviriform congregatae",39640,"NC_006633,NC_006634,NC_006635,NC_006636,NC_006637,NC_006638,NC_006639,NC_006640,NC_006641,NC_006642,NC_006643,NC_006644,NC_006645,NC_006646,NC_006647,NC_006648,NC_006649,NC_006650,NC_006651,NC_006652,NC_006653,NC_006654,NC_006655,NC_006656,NC_006657,NC_006658,NC_006659,NC_006660,NC_006661,NC_006662","Segmented"
"Bracoviriform demolitoris",53988,"NC_007028,NC_007029,NC_007030,NC_007031,NC_007032,NC_007033,NC_007034,NC_007035,NC_007036,NC_007037,NC_007038,NC_007039,NC_007040,NC_007041,NC_007044","Segmented"
"Bracoviriform facetosae",2083300,"NC_043307,NC_043308,NC_043309,NC_043310,NC_043311,NC_043312,NC_043313,NC_043314,NC_043315,NC_043316,NC_043317,NC_043318,NC_043319,NC_043320,NC_043321,NC_043322,NC_043323,NC_043324,NC_043325,NC_043326,NC_043327,NC_043328,NC_043329,NC_043330,NC_043331,NC_043332,NC_043333,NC_043334,NC_043335","Segmented"
"Bracoviriform flavipedis",523798,"NC_043275,NC_043276,NC_043277,NC_043278,NC_043279,NC_043280,NC_043281,NC_043282,NC_043283,NC_043284,NC_043285,NC_043286","Segmented"
"Bracoviriform glomeratae",257816,"NC_043287,NC_043288,NC_043289,NC_043290,NC_043291,NC_043292,NC_043293,NC_043294,NC_043295,NC_043296,NC_043297,NC_043298,NC_043299,NC_043300","Segmented"
"Bracoviriform inaniti",36344,"NC_005165,NC_043258,NC_043259,NC_043260,NC_043261,NC_043262,NC_043263,NC_043264,NC_043265,NC_043266,NC_043267,NC_043268,NC_043269,NC_043270,NC_043271,NC_043272,NC_043273,NC_043274","Segmented"
"Bracoviriform indiense",116759,"NC_043336,NC_043337,NC_043338,NC_043339,NC_043340,NC_043341,NC_043342,NC_043343,NC_043344,NC_043345,NC_043346,NC_043347,NC_043348,NC_043349,NC_043350,NC_043351,NC_043352,NC_043353,NC_043354,NC_043355,NC_043356,NC_043357,NC_043358,NC_043359,NC_043360,NC_043361,NC_043362","Segmented"
"Bracoviriform kariyai",199362,"NC_043131","Segmented"
"Bracoviriform marginiventris",574230,"NC_043301,NC_043302,NC_043303,NC_043304","Segmented"
"Bracoviriform melanoscelae",523799,"NC_043305,NC_043306","Segmented"
"Bracoviriform nigricipitis",2169782,"NC_055109,NC_055110","Segmented"
"Bracoviriform rubeculae",47223,"NC_043374,NC_043375,NC_043376,NC_043377,NC_043378,NC_043379,NC_043380,NC_043381","Segmented"
"Brassica campestris chrysovirus 1",1692191,"NC_043659,NC_043660,NC_043661","Segmented"
"Brazoran virus",1368616,"NC_022037,NC_022038,NC_022039","Segmented"
"Brno virus",1744961,"NC_055375,NC_055376,NC_055377","Segmented"
"Broad bean mottle virus",12301,"NC_004006,NC_004007,NC_004008","Segmented"
"Broad bean necrosis virus",79918,"NC_004423,NC_004424,NC_004425","Segmented"
"Broad bean true mosaic virus",649890,"NC_022004,NC_022006","Segmented"
"Broad bean wilt virus",95622,"KT923141","Segmented"
"Broad bean wilt virus 1",50817,"NC_005289,NC_005290","Segmented"
"Broad bean wilt virus 2",76875,"NC_003003,NC_003004","Segmented"
"Brome mosaic virus",12302,"NC_002026,NC_002027,NC_002028","Segmented"
"Broome virus",667093,"NC_014236,NC_014237,NC_014238,NC_014239,NC_014240,NC_014241,NC_014242,NC_014243,NC_014244,NC_014245","Segmented"
"Bruges virus",1679445,"NC_034394,NC_034395,NC_034402","Segmented"
"Buenaventura virus",206377,"NC_055387,NC_055388,NC_055389","Segmented"
"Bunyamwera virus",35304,"NC_001925,NC_001926,NC_001927","Segmented"
"Burana virus",1453404,"NC_043437,NC_043438,NC_043439","Segmented"
"Burdock mottle virus",1324959,"NC_021735,NC_021736","Segmented"
"Bush viper reovirus",1462685,"NC_023817,NC_023818,NC_023820","Segmented"
"Buttonwillow virus",159140,"NC_043597,NC_043598,NC_043599","Segmented"
"Bwamba orthobunyavirus",35310,"NC_034479,NC_034480,NC_034490","Segmented"
"CAS virus",1223561,"NC_018481,NC_018484","Segmented"
"Cabbage leaf curl Jamaica virus",345184,"NC_038792,NC_038793","Segmented"
"Cabbage leaf curl virus",51336,"NC_003866,NC_003887","Segmented"
"Cacao virus",629730,"NC_055324,NC_055325,NC_055326","Segmented"
"Cache Valley virus",80935,"NC_043618,NC_043619,NC_043620","Segmented"
"Cachoeira Porteira virus",1138490,"NC_043573,NC_043574,NC_043575","Segmented"
"Caimito virus",2572766,"NC_055408,NC_055409,NC_055410","Segmented"
"California encephalitis virus",35305,"NC_055117,NC_055118,NC_055119","Segmented"
"Calla lily chlorotic spot virus",309542,"NC_036607,NC_036608,NC_036609","Segmented"
"Callinectes sapidus reovirus 1",1811230,"NC_029904,NC_037579,NC_037580,NC_037581,NC_037582,NC_037583,NC_037584,NC_037585,NC_037586,NC_037587,NC_037588,NC_037589","Segmented"
"Cangyuan orthoreovirus",1388882,"NC_025801,NC_025802,NC_025803,NC_025804,NC_025805,NC_025806,NC_025807,NC_025808,NC_025809,NC_025810","Segmented"
"Cannabis cryptic virus",1115692,"NC_031130,NC_031134","Segmented"
"Cano Delgadito orthohantavirus",1980463,"NC_034515,NC_034525,NC_034528","Segmented"
"Cao Bang orthohantavirus",1980464,"NC_034474,NC_034484,NC_034485","Segmented"
"Cape gooseberry ilarvirus 1",2116599,"NC_040392,NC_040393,NC_040394","Segmented"
"Capim virus",35312,"NC_034482,NC_034483,NC_034493","Segmented"
"Capraria yellow spot Yucatan virus",1311277,"NC_022007,NC_022008","Segmented"
"Capsicum chlorosis virus",163325,"NC_008301,NC_008302,NC_008303","Segmented"
"Caraparu virus",192196,"NC_034477,NC_034478,NC_034489","Segmented"
"Cardamom bushy dwarf virus",262588,"NC_038808,NC_038809,NC_038810,NC_038811,NC_038812,NC_038813,NC_038814,NC_038815,NC_038816","Segmented"
"Carnation cryptic virus 3",1980625,"NC_034513,NC_034523","Segmented"
"Carnation ringspot virus",12268,"NC_003530,NC_003531","Segmented"
"Carrot cryptic virus",589918,"NC_038823,NC_038824","Segmented"
"Carrot torradovirus 1",1425364,"NC_025479,NC_025480","Segmented"
"Cassava Ivorian bacilliform virus",1464778,"NC_025482,NC_025483,NC_025484","Segmented"
"Cassava mosaic Madagascar virus",1125764,"NC_017004,NC_017005","Segmented"
"Cassava virus C",561576,"NC_013111,NC_013112,NC_013113","Segmented"
"Cassia yellow blotch virus",300879,"NC_006999,NC_007000,NC_007001","Segmented"
"Cat Que virus",1495866,"NC_024074,NC_024075,NC_024076","Segmented"
"Catu virus",1678225,"NC_038726,NC_038727,NC_038728","Segmented"
"Ceratocystis polonica partitivirus",235434,"NC_010705,NC_010706","Segmented"
"Ceratocystis resinifera virus 1",674982,"NC_010754,NC_010755","Segmented"
"Chagres virus",629727,"NC_055327,NC_055328,NC_055329","Segmented"
"Chandiru virus",629725,"NC_015373,NC_015374,NC_015375","Segmented"
"Changping earthworm virus 2",1922827,"NC_033319,NC_033320,NC_033321,NC_033322,NC_033323,NC_033324","Segmented"
"Changuinola virus",40052,"NC_022633,NC_022634,NC_022635,NC_022636,NC_022637,NC_022638,NC_022639,NC_022640,NC_022641,NC_022642","Segmented"
"Chapare mammarenavirus",499556,"NC_010562,NC_010563","Segmented"
"Chenuda virus",40065,"NC_027534,NC_027535,NC_027536,NC_027537,NC_027538,NC_027548,NC_027549,NC_027550,NC_027551,NC_027552","Segmented"
"Cherry chlorotic rusty spot associated partitivirus",284688,"AJ781401,AJ781402","Segmented"
"Cherry leaf roll virus",12615,"NC_015414,NC_015415","Segmented"
"Cherry rasp leaf virus",202566,"NC_006271,NC_006272","Segmented"
"Chicken picobirnavirus",1930304,"NC_040438,NC_040439","Segmented"
"Chilli leaf curl virus-[Bhavanisagar:India:2010]",876170,"NC_055130","Segmented"
"Chim orthonairovirus",2170062,"NC_043434,NC_043435,NC_043436","Segmented"
"Chinese wheat mosaic virus",83544,"NC_002356,NC_002359","Segmented"
"Chino del tomate virus",47838,"NC_003830,NC_003831","Segmented"
"Chiqui virus",2250219,"NC_040498,NC_040499,NC_040500,NC_040501,NC_040502,NC_040503,NC_040504,NC_040505,NC_040506","Segmented"
"Chobar Gorge virus",1679172,"NC_027553,NC_027554,NC_027555,NC_027556,NC_027557,NC_027558,NC_027559,NC_027560,NC_027561,NC_027562","Segmented"
"Choclo virus",169173,"KT983771,KT983772,KT983773","Segmented"
"Chocolate lily virus A",1120751,"NC_016443,NC_016444","Segmented"
"Chondrostereum purpureum cryptic virus 1",529380,"NC_038915,NC_038916","Segmented"
"Choristoneura occidentalis cypovirus 16",480410,"NC_038645,NC_038646,NC_038647,NC_038648,NC_038649,NC_038650,NC_038651,NC_038652","Segmented"
"Chronic bee paralysis virus",180822,"NC_010711,NC_010712","Segmented"
"Chrysanthemum stem necrosis virus",83871,"NC_027718,NC_027719,NC_027720","Segmented"
"Chrysothrix chrysovirus 1",2682569,"NC_055654,NC_055655,NC_055656,NC_055657","Segmented"
"Chum salmon reovirus CS",173082,"NC_007582,NC_007583,NC_007584,NC_007585,NC_007586,NC_007587,NC_007588,NC_007589,NC_007590,NC_007591,NC_007592","Segmented"
"Cimodo virus",1427476,"NC_023420,NC_024910,NC_024911,NC_024912,NC_024913,NC_024914,NC_024915,NC_024916,NC_024917,NC_024918,NC_024919,NC_024920","Segmented"
"Citrus chlorotic spot virus",1980624,"NC_055208,NC_055209","Segmented"
"Citrus concave gum-associated virus",2024604,"NC_035454,NC_035759","Segmented"
"Citrus leaf rugose virus",37126,"NC_003546,NC_003547,NC_003548","Segmented"
"Citrus leprosis virus C",347219,"NC_008169,NC_008170","Segmented"
"Citrus leprosis virus C2",2052685,"NC_038848,NC_038849","Segmented"
"Citrus leprosis virus N",1956177,"NC_052230,NC_052231","Segmented"
"Citrus psorosis virus",73561,"NC_006314,NC_006315,NC_006316","Segmented"
"Citrus variegation virus",37127,"NC_009536,NC_009537,NC_009538","Segmented"
"Cladosporium cladosporioides virus 1",1529605,"NC_024704,NC_024705,NC_024706,NC_024707,NC_024708","Segmented"
"Cleome leaf crumple virus",666144,"NC_016572,NC_016578","Segmented"
"Clerodendron golden mosaic virus",390438,"NC_010713,NC_010714","Segmented"
"Clerodendrum chlorotic spot virus",1064520,"NC_043648,NC_043649","Segmented"
"Clerodendrum golden mosaic China virus",559878,"NC_011346,NC_011347","Segmented"
"Clo Mor virus",1810952,"NC_034554,NC_034561,NC_034562","Segmented"
"Cnidoscolus mosaic leaf deformation virus",1747500,"NC_038982,NC_040184","Segmented"
"Coccinia mosaic Tamil Nadu virus",1532882,"NC_024809,NC_024810","Segmented"
"Coffee ringspot virus",745716,"NC_038755,NC_038756","Segmented"
"Colletotrichum fructicola chrysovirus 1",2304034,"NC_040485,NC_040486,NC_040487,NC_040488,NC_040489,NC_040490,NC_040491","Segmented"
"Colletotrichum gloeosporioides chrysovirus 1",1766766,"NC_043666,NC_043667,NC_043668","Segmented"
"Colombian potato soil-borne virus",1758139,"NC_029034,NC_029035,NC_029037","Segmented"
"Colorado tick fever virus",46839,"NC_004180,NC_004181,NC_004182,NC_004183,NC_004184,NC_004185,NC_004186,NC_004187,NC_004188,NC_004189,NC_004190,NC_004191","Segmented"
"Common bean mottle virus",1915202,"NC_038988,NC_040189","Segmented"
"Common bean severe mosaic virus",1915203,"KX011477,NC_040190","Segmented"
"Coniothyrium diplodiella chrysovirus 1",2587540,"NC_055624,NC_055625,NC_055626,NC_055627","Segmented"
"Corchorus golden mosaic virus",390436,"NC_009644,NC_009646","Segmented"
"Corchorus yellow spot virus",403897,"NC_008492,NC_008493","Segmented"
"Corchorus yellow vein virus - [Hoa Binh]",293284,"NC_006358,NC_006359","Segmented"
"Corriparta virus",40053,"NC_038564,NC_038565,NC_038566,NC_038567,NC_038568,NC_038569,NC_038570,NC_038571,NC_038572,NC_038573","Segmented"
"Cotesia plutellae polydnavirus",256130,"AY651828,AY651829,AY651830,DQ075354,DQ075355,DQ075356,DQ075357,DQ075358,DQ075359,DQ075360,EF067319,EF067320,EF067321,EF067322,EF067323,EF067324,EF067325,EF067326,EF067327,EF067328,EF067329,EF067330,EF067331,EF067332","Segmented"
"Cotton chlorotic spot virus",1396815,"NC_038794,NC_038795","Segmented"
"Cotton leaf crumple virus",77647,"NC_004580,NC_004581","Segmented"
"Cotton yellow mosaic virus",79236,"NC_030310,NC_030311","Segmented"
"Cow vetch latent virus",2056780,"NC_040744,NC_040745,NC_040746,NC_040747,NC_040748,NC_040749,NC_040750,NC_040751","Segmented"
"Cowpea bright yellow mosaic virus",2174956,"NC_055489,NC_055490","Segmented"
"Cowpea chlorotic mottle virus",12303,"NC_003541,NC_003542,NC_003543","Segmented"
"Cowpea golden mosaic virus-[Nigeria]",223260,"NC_038445","Segmented"
"Cowpea mosaic virus",12264,"NC_003549,NC_003550","Segmented"
"Cowpea severe mosaic virus",12261,"NC_003544,NC_003545","Segmented"
"Crimean-Congo hemorrhagic fever orthonairovirus",1980519,"NC_005300,NC_005301,NC_005302","Segmented"
"Crimson clover cryptic virus 2",1323528,"NC_038837,NC_038838","Segmented"
"Croton golden mosaic virus",1884873,"NC_055463,NC_055464","Segmented"
