"Species","Virus.name.abbreviations","Genome.coverage"
"Papiine alphaherpesvirus 2","PaAHV2; HPV2","Complete genome"
"Pteropodid alphaherpesvirus 1","PtHAV1; FBAHV1","Complete genome"
"Saimiriine alphaherpesvirus 1","SaAHV1; HVS1","Complete genome"
"Bovine alphaherpesvirus 1","BoAHV1; IBRV","Complete genome"
"Bovine alphaherpesvirus 5","BoAHV5","Complete genome"
"Bubaline alphaherpesvirus 1","BuAHV1","Complete genome"
"Canid alphaherpesvirus 1","CaAHV1; CHV","Complete genome"
"Caprine alphaherpesvirus 1","CpAHV1","Complete genome"
"Cercopithecine alphaherpesvirus 9","CeAHV9; SVV","Complete genome"
"Cervid alphaherpesvirus 1","CvAHV1","Complete genome"
"Cervid alphaherpesvirus 2","CvAHV2","Complete genome"
"Cervid alphaherpesvirus 3","CvAHV3","Partial genome"
"Equid alphaherpesvirus 1","EqAHV1; EAV","Complete genome"
"Equid alphaherpesvirus 3","EqAHV3","Complete genome"
"Equid alphaherpesvirus 4","EqAHV4","Complete genome"
"Equid alphaherpesvirus 8","EqAHV8","Complete genome"
"Equid alphaherpesvirus 9","EqAHV9","Complete genome"
"Felid alphaherpesvirus 1","FeAHV1; FVRV","Complete genome"
"Human alphaherpesvirus 3","HuAHV3; VZV","Complete genome"
"Monodontid alphaherpesvirus 1","MoAHV1","Complete genome"
"Phocid alphaherpesvirus 1","PcAHV1","Partial genome"
"Suid alphaherpesvirus 1","SuAHV1; PRV","Complete genome"
"Chelonid alphaherpesvirus 6","ChAHV6; LETV","Partial genome"
"Aotine betaherpesvirus 1","AoBHV1; OMCMV","Complete genome"
"Cebine betaherpesvirus 1","CbBHV1; CMCMV","Partial genome"
"Cercopithecine betaherpesvirus 5","CeBHV5; SCMV","Complete genome"
"Human betaherpesvirus 5","HuBHV5; HCMV","Complete genome"
"Macacine betaherpesvirus 3","McBHV3; RhCMV","Complete genome"
"Macacine betaherpesvirus 8","McBHV8","Complete genome"
"Mandrilline betaherpesvirus 1","MdBHV1","Complete genome"
"Panine betaherpesvirus 2","PnBHV2; CCMV","Complete genome"
"Papiine betaherpesvirus 3","PaBHV3; BCMV","Partial genome"
"Papiine betaherpesvirus 4","PaBHV4","Complete genome"
"Saimiriine betaherpesvirus 4","SaBHV4; SMCMV","Complete genome"
"Murid betaherpesvirus 1","MuBHV1; MCMV","Complete genome"
"Murid betaherpesvirus 2","MuBHV2; RCMV","Complete genome"
"Murid betaherpesvirus 8","MuBHV8; RCMVE","Complete genome"
"Elephantid betaherpesvirus 1","ElBHV1; EEHV1","Complete genome"
"Elephantid betaherpesvirus 4","ElBHV4; EEHV4","Complete genome"
"Elephantid betaherpesvirus 5","ElBHV5; EEHV5","Complete genome"
"Caviid betaherpesvirus 2","CdBHV2; GPCMV","Complete genome"
"Miniopterid betaherpesvirus 1","MnBHV1; MsHV","Complete genome"
"Tupaiid betaherpesvirus 1","TuBHV1; THV","Complete genome"
"Human betaherpesvirus 7","HuBHV7; HHV7","Complete genome"
"Human betaherpesvirus 6A","HuBHV6A; HHV6A","Complete genome"
"Human betaherpesvirus 6B","HuBHV6B; HHV6B","Complete genome"
"Macacine betaherpesvirus 9","McBHV9; MneHV7","Complete genome"
"Murid betaherpesvirus 3","MuBHV3; MTV","Complete genome"
"Suid betaherpesvirus 2","SuBHV2; PCMV","Complete genome"
"Delphinid gammaherpesvirus 1","DeGHV1","Complete genome"
"Callitrichine gammaherpesvirus 3","ClGHV3","Complete genome"
"Cercopithecine gammaherpesvirus 14","CeGHV14","No entry in Genbank"
"Gorilline gammaherpesvirus 1","GoGHV1","Partial genome"
"Human gammaherpesvirus 4","HuGHV4; EBV","Complete genome"
"Macacine gammaherpesvirus 4","McGHV4; RLV","Complete genome"
"Macacine gammaherpesvirus 10","McGHV10","Complete genome"
"Panine gammaherpesvirus 1","PnGHV1","Partial genome"
"Papiine gammaherpesvirus 1","PaGHV1","Partial genome"
"Pongine gammaherpesvirus 2","PoGHV2","Partial genome"
"Alcelaphine gammaherpesvirus 1","AlGHV1; MCFV","Complete coding genome"
"Alcelaphine gammaherpesvirus 2","AlGHV2","Complete genome"
"Bovine gammaherpesvirus 6","BoGHV6; BLV","Complete genome"
"Caprine gammaherpesvirus 2","CpGHV2; CpHV2","Partial genome"
"Hippotragine gammaherpesvirus 1","HiGHV1","Partial genome"
"Ovine gammaherpesvirus 2","OvGHV2","Complete genome"
"Suid gammaherpesvirus 3","SuGHV3; PLVH1","Partial genome"
"Suid gammaherpesvirus 4","SuGHV4; PLHV2","Partial genome"
"Suid gammaherpesvirus 5","SuGHV5; PLHV3","Partial genome"
"Phascolarctid gammaherpesvirus 1","PcGHV1","Complete genome"
"Vombatid gammaherpesvirus 1","VoGHV1","Complete genome"
"Vespertilionid gammaherpesvirus 3","VeGHV3; EfHV","Complete genome"
"Equid gammaherpesvirus 2","EqGHV2; EHV2","Complete genome"
"Equid gammaherpesvirus 5","EqGHV5; EHV5","Complete genome"
"Felid gammaherpesvirus 1","FeGHV1; FcaGHV1","Complete genome"
"Mustelid gammaherpesvirus 1","MusGHV1; BadHV","Partial genome"
"Phocid gammaherpesvirus 3","PhGHV3; HaSHV","Partial genome"
"Vespertilionid gammaherpesvirus 1","VeGHV1","Complete coding genome"
"Ateline gammaherpesvirus 2","AtGHV2","Partial genome"
"Ateline gammaherpesvirus 3","AtGHV3; HVA","Complete coding genome"
"Bovine gammaherpesvirus 4","BoGHV4; BHV4","Complete coding genome"
"Cricetid gammaherpesvirus 2","CrGHV2; RHVP","Complete coding genome"
"Human gammaherpesvirus 8","HuGHV8; KSHV","Complete genome"
"Macacine gammaherpesvirus 5","McGHV5; RRV","Complete genome"
"Macacine gammaherpesvirus 8","McGHV8; RFHV","Complete coding genome"
"Macacine gammaherpesvirus 11","McGHV11; JMRV","Complete genome"
"Macacine gammaherpesvirus 12","McGHV12; MneRV2","Complete coding genome"
"Murid gammaherpesvirus 4","MuGHV4; MHV68","Complete genome"
"Murid gammaherpesvirus 7","MuGHV7; WMHV","Complete genome"
"Saimiriine gammaherpesvirus 2","SaGHV2; HVS","Complete coding genome"
"Equid gammaherpesvirus 7","EGHV7; ASHV2","Partial genome"
"Phocid gammaherpesvirus 2","PhoGHV2; PhHV2","Partial genome"
"Saguinine gammaherpesvirus 1","SgGHV1","Partial genome"
"Iguanid herpesvirus 2","IgHV2","Partial genome"
"Haliotid herpesvirus 1","AbHV1; HaHV1","Complete genome"
"Ostreid herpesvirus 1","OHV; OsHV1","Complete genome"
"Junduvirus communis",NA,"Complete genome"
"Junduvirus copri",NA,"Complete genome"
"Kahucivirus intestinalis",NA,"Complete genome"
"Kingevirus communis",NA,"Complete genome"
"Jahgtovirus gastrointestinalis",NA,"Complete genome"
"Jahgtovirus intestinalis",NA,"Complete genome"
"Jahgtovirus intestinihominis",NA,"Complete genome"
"Jahgtovirus secundus",NA,"Complete genome"
"Carjivirus communis",NA,"Complete genome"
"Carjivirus hominis",NA,"Complete genome"
"Dabirmavirus hominis",NA,"Complete genome"
"Delmidovirus copri",NA,"Complete genome"
"Delmidovirus intestinihominis",NA,"Complete genome"
"Delmidovirus splanchnicus",NA,"Complete genome"
"Diorhovirus copri",NA,"Complete genome"
"Diorhovirus intestinalis",NA,"Complete genome"
"Drivevirus gastrointestinalis",NA,"Complete genome"
"Endlipuvirus intestinihominis",NA,"Complete genome"
"Whopevirus animalis",NA,"Complete genome"
"Fohxhuevirus gastrointestinalis",NA,"Complete genome"
"Hacihdavirus animalis",NA,"Complete genome"
"Wotdevirus murinus",NA,"Complete genome"
"Akihdevirus balticus",NA,"Complete genome"
"Kahnovirus copri",NA,"Complete genome"
"Kahnovirus oralis",NA,"Complete genome"
"Kehishuvirus primarius",NA,"Complete genome"
"Kehishuvirus splanchnicus",NA,"Complete genome"
"Kolpuevirus coli",NA,"Complete genome"
"Kolpuevirus hominis",NA,"Complete genome"
"Lahndsivirus rarus",NA,"Complete genome"
"Lebriduvirus gastrointestinalis",NA,"Complete genome"
"Mahlunavirus rarus",NA,"Complete genome"
"Mahstovirus faecalis",NA,"Complete genome"
"Pamirivirus faecium",NA,"Complete genome"
"Paundivirus hollandii",NA,"Complete genome"
"Pipoluvirus rarus",NA,"Complete genome"
"Wulfhauvirus bangladeshii",NA,"Complete genome"
"Afonbuvirus coli",NA,"Complete genome"
"Afonbuvirus faecalis",NA,"Complete genome"
"Afonbuvirus intestinihominis",NA,"Complete genome"
"Canhaevirus faecalis",NA,"Complete genome"
"Canhaevirus hiberniae",NA,"Complete genome"
"Cohcovirus hiberniae",NA,"Complete genome"
"Cohcovirus splanchnicus",NA,"Complete genome"
"Culoivirus americanus",NA,"Complete genome"
"Culoivirus faecalis",NA,"Complete genome"
"Culoivirus intestinalis",NA,"Complete genome"
"Blohavirus americanus",NA,"Complete genome"
"Blohavirus faecalis",NA,"Complete genome"
"Buchavirus coli",NA,"Complete genome"
"Buchavirus copri",NA,"Complete genome"
"Buchavirus faecalis",NA,"Complete genome"
"Buchavirus hiberniae",NA,"Complete genome"
"Buchavirus hominis",NA,"Complete genome"
"Buchavirus intestinalis",NA,"Complete genome"
"Buchavirus oralis",NA,"Complete genome"
"Buchavirus splanchnicus",NA,"Complete genome"
"Buorbuivirus hominis",NA,"Complete genome"
"Bohxovirus oralis",NA,"Complete genome"
"Buhlduvirus animalis",NA,"Complete genome"
"Buhlduvirus porcinus",NA,"Complete genome"
"Burzaovirus coli",NA,"Complete genome"
"Burzaovirus faecalis",NA,"Complete genome"
"Burzaovirus intestinihominis",NA,"Complete genome"
"Cacepaovirus simiae",NA,"Complete genome"
"Chuhaivirus simiae",NA,"Complete genome"
"Aurodevirus hiberniae",NA,"Complete genome"
"Aurodevirus hominis",NA,"Complete genome"
"Aurodevirus intestinalis",NA,"Complete genome"
"Besingivirus coli",NA,"Complete genome"
"Birpovirus hiberniae",NA,"Complete genome"
"Birpovirus hominis",NA,"Complete genome"
"Dechshavirus japanensis",NA,"Complete genome"
"Beejeyvirus BJ1","BJ1","Complete genome"
"Seejivirus CGphi46","CGphi46","Complete genome"
"Dpdavirus HRTV29","HRTV29","Complete genome"
"Retbasiphovirus HFTV1","HFTV1","Complete genome"
"Saldibavirus HRTV4","HRTV4","Complete genome"
"Hatrivirus HATV3","HATV3","Complete genome"
"Lonfivirus HSTV1","HSTV1","Complete genome"
"Metforvirus Drs3","Drs3","Complete genome"
"Psimunavirus psiM2",NA,"Complete genome"
"Hacavirus HCTV1","HCTV-1","Complete genome"
"Tredecimvirus HVTV1","HVTV-1","Complete genome"
"Haloferacalesvirus HF1","HF1","Complete genome"
"Haloferacalesvirus HJTV2","HRTV-24","Complete genome"
"Haloferacalesvirus HRTV5","HRTV-5","Complete genome"
"Haloferacalesvirus HRTV8","HRTV-8","Complete genome"
"Haloferacalesvirus HRTV10","HRTV-10","Complete genome"
"Haloferacalesvirus HSTV4","HSTV-4","Complete genome"
"Haloferacalesvirus Serpecor1","Serpecor1","Complete genome"
"Laminvirus HRTV25","HRTV-25","Complete genome"
"Mincapvirus HSTV2","HSTV-2","Complete genome"
"Minorvirus HRTV27","HRTV-27","Complete genome"
"Hagravirus HGTV1","HGTV1","Complete genome"
"Eilatmyovirus HATV2","HATV-2","Complete genome"
"Agtrevirus AG3",NA,"Complete genome"
"Agtrevirus EM4",NA,"Complete genome"
"Agtrevirus MK13",NA,"Complete genome"
"Agtrevirus P46FS4",NA,"Complete genome"
"Agtrevirus SKML39",NA,"Complete genome"
"Limestonevirus limestone",NA,"Complete genome"
"Limestonevirus RC2014",NA,"Complete genome"
"Kuttervirus aagejoakim",NA,"Complete genome"
"Kuttervirus allotria",NA,"Complete genome"
"Kuttervirus barely",NA,"Complete genome"
"Kuttervirus bering",NA,"Complete genome"
"Kuttervirus BSP101",NA,"Complete genome"
"Kuttervirus CBA120",NA,"Complete genome"
"Kuttervirus Det7",NA,"Complete genome"
"Kuttervirus dinky",NA,"Complete genome"
"Kuttervirus ECML4",NA,"Complete genome"
"Kuttervirus EP75",NA,"Complete genome"
"Kuttervirus FEC14",NA,"Complete genome"
"Kuttervirus GG32",NA,"Complete genome"
"Kuttervirus heyday",NA,"Complete genome"
"Kuttervirus kv38",NA,"Complete genome"
"Kuttervirus maane",NA,"Complete genome"
"Kuttervirus marshall",NA,"Complete genome"
"Kuttervirus maynard",NA,"Complete genome"
"Kuttervirus moki",NA,"Complete genome"
"Kuttervirus mutine",NA,"Complete genome"
"Kuttervirus pertopsoe",NA,"Complete genome"
"Kuttervirus PhaxI",NA,"Complete coding genome"
"Kuttervirus PM10",NA,"Complete genome"
"Kuttervirus rabagast",NA,"Complete genome"
"Kuttervirus S118",NA,"Complete genome"
"Kuttervirus SE14",NA,"Complete genome"
"Kuttervirus SeB",NA,"Complete genome"
"Kuttervirus SeG",NA,"Complete genome"
"Kuttervirus SeJ",NA,"Complete genome"
"Kuttervirus SenALZ1",NA,"Complete genome"
"Kuttervirus SenASZ3",NA,"Complete genome"
"Kuttervirus SeSz1",NA,"Complete genome"
"Kuttervirus SFP10",NA,"Complete genome"
"Kuttervirus SH19",NA,"Complete genome"
"Kuttervirus SJ2",NA,"Complete genome"
"Kuttervirus SJ3",NA,"Complete genome"
"Kuttervirus SP1",NA,"Partial genome"
"Kuttervirus SS9",NA,"Complete genome"
"Kuttervirus STML131",NA,"Partial genome"
"Kuttervirus STW77",NA,"Complete genome"
"Kuttervirus ViI",NA,"Complete genome"
"Campanilevirus YC",NA,"Complete genome"
"Kujavirus kuja",NA,"Complete genome"
"Miltonvirus 3M",NA,"Complete genome"
"Miltonvirus MAM1",NA,"Complete genome"
"Nezavisimistyvirus bue1",NA,"Complete genome"
"Nezavisimistyvirus Ea2809",NA,"Complete genome"
"Taipeivirus 0507KN21",NA,"Complete genome"
"Taipeivirus IME250",NA,"Complete genome"
"Taipeivirus KpS110",NA,"Complete genome"
"Taipeivirus KWBSE436",NA,"Complete genome"
"Taipeivirus magnus",NA,"Complete genome"
"Taipeivirus may",NA,"Complete genome"
"Taipeivirus menlow",NA,"Complete genome"
"Taipeivirus UPM2146",NA,"Complete genome"
"Tedavirus A829",NA,"Complete genome"
"Vapseptimavirus VAP7",NA,"Complete genome"
"Harrekavirus harreka","Harreka_1","Complete genome"
"Cebadecemvirus phi10una","phi10:1","Complete genome"
"Cellubavirus phi19una","phi19:1","Complete genome"
"Nekkelsvirus Nekkels","Nekkels_1","Complete genome"
"Daemvirus acibel007",NA,"Complete genome"
"Friunavirus AB1",NA,"Complete genome"
"Friunavirus AB3",NA,"Complete genome"
"Friunavirus AB6",NA,"Complete genome"
"Friunavirus AbKT21III",NA,"Complete genome"
"Friunavirus Abp1",NA,"Complete genome"
"Friunavirus Aci07",NA,"Complete genome"
"Friunavirus Aci08",NA,"Complete genome"
"Friunavirus AS11",NA,"Complete genome"
"Friunavirus AS12",NA,"Complete genome"
"Friunavirus B1",NA,"Complete genome"
"Friunavirus B3",NA,"Complete genome"
"Friunavirus B5",NA,"Complete genome"
"Friunavirus D2",NA,"Complete genome"
"Friunavirus Fri1",NA,"Complete genome"
"Friunavirus fv15519",NA,"Complete genome"
"Friunavirus IME200",NA,"Complete genome"
"Friunavirus P1",NA,"Complete genome"
"Friunavirus P2",NA,"Complete genome"
"Friunavirus PD6A3",NA,"Complete genome"
"Friunavirus PDAB9",NA,"Complete genome"
"Friunavirus SWHAb1",NA,"Complete genome"
"Friunavirus SWHAb3",NA,"Complete genome"
"Friunavirus WCHABP5",NA,"Complete genome"
"Pettyvirus petty",NA,"Complete genome"
"Gutovirus Vc1",NA,"Complete genome"
"Kaohsiungvirus A318",NA,"Complete genome"
"Kaohsiungvirus AS51",NA,"Complete genome"
"Kaohsiungvirus Vp670",NA,"Complete genome"
"Murciavirus CB5A",NA,"Complete genome"
"Murciavirus CPP1m",NA,"Complete genome"
"Trungvirus VEN",NA,"Complete genome"
"Uliginvirus achelous",NA,"Complete genome"
"Uliginvirus alpheus",NA,"Complete genome"
"Uliginvirus nerthus",NA,"Complete genome"
"Uliginvirus njord",NA,"Complete genome"
"Uliginvirus uligo",NA,"Complete genome"
"Kantovirus C171",NA,"Complete genome"
"Kotilavirus PP16",NA,"Complete genome"
"Kotilavirus PPWS1",NA,"Complete genome"
"Kotilavirus PPWS2",NA,"Complete genome"
"Phimunavirus CB5",NA,"Complete genome"
"Phimunavirus Clickz",NA,"Complete genome"
"Phimunavirus fM1",NA,"Complete genome"
"Phimunavirus gaspode",NA,"Complete genome"
"Phimunavirus khlen",NA,"Complete genome"
"Phimunavirus koot",NA,"Complete genome"
"Phimunavirus lelidair",NA,"Complete genome"
"Phimunavirus nobby",NA,"Complete genome"
"Phimunavirus peat1",NA,"Complete genome"
"Phimunavirus phoria",NA,"Complete genome"
"Phimunavirus PP90",NA,"Complete genome"
"Phimunavirus zenivior",NA,"Complete genome"
"Stompvirus BF2512",NA,"Complete genome"
"Kirikabuvirus NV3",NA,"Complete genome"
"Phikmvvirus 15pyo",NA,"Complete genome"
"Phikmvvirus Ab05",NA,"Complete genome"
"Phikmvvirus ABTNL",NA,"Complete genome"
"Phikmvvirus DL62",NA,"Complete genome"
"Phikmvvirus kF77",NA,"Complete genome"
"Phikmvvirus LKD16",NA,"Complete genome"
"Phikmvvirus LUZ19",NA,"Complete genome"
"Phikmvvirus MPK6",NA,"Complete genome"
"Phikmvvirus MPK7",NA,"Complete genome"
"Phikmvvirus NFS",NA,"Complete genome"
"Phikmvvirus PAXYB1",NA,"Complete genome"
"Phikmvvirus phiKMV",NA,"Complete genome"
"Phikmvvirus PT2",NA,"Complete genome"
"Phikmvvirus PT5",NA,"Complete genome"
"Phikmvvirus pv130113",NA,"Complete genome"
"Phikmvvirus RLP",NA,"Complete genome"
"Stubburvirus LKA1",NA,"Complete genome"
"Tunggulviirus f2",NA,"Complete genome"
"Aerosvirus AS7",NA,"Complete genome"
"Aerosvirus av25AhydR2PP",NA,"Complete genome"
"Aerosvirus ZPAH7",NA,"Complete genome"
"Aghbyvirus ISAO8",NA,"Complete genome"
"Ahphunavirus Ahp1",NA,"Complete genome"
"Ahphunavirus CF7",NA,"Complete genome"
"Cronosvirus DevCD23823",NA,"Complete genome"
"Cronosvirus GAP227",NA,"Complete genome"
"Panjvirus Spp16",NA,"Complete genome"
"Pienvirus R801",NA,"Complete genome"
"Pokrovskaiavirus fHeYen301",NA,"Complete genome"
"Pokrovskaiavirus pv8018",NA,"Complete genome"
"Wanjuvirus arno160",NA,"Complete genome"
"Wanjuvirus PP2",NA,"Complete genome"
"Acadevirus PM85",NA,"Complete genome"
"Acadevirus PM93",NA,"Complete genome"
"Acadevirus PM116",NA,"Complete genome"
"Acadevirus Pm5460",NA,"Complete genome"
"Axomammavirus PP1",NA,"Complete genome"
"Eracentumvirus era103",NA,"Complete genome"
"Eracentumvirus S2",NA,"Complete genome"
"Tuodvirus phD2B",NA,"Complete genome"
"Vectrevirus AAPEc6",NA,"Complete genome"
"Vectrevirus ACGC91",NA,"Complete genome"
"Vectrevirus bee",NA,"Complete genome"
"Vectrevirus cee",NA,"Complete genome"
"Vectrevirus CrRp3",NA,"Complete genome"
"Vectrevirus K15",NA,"Complete genome"
"Vectrevirus K1E",NA,"Complete genome"
"Vectrevirus kay",NA,"Complete genome"
"Vectrevirus LL11",NA,"Complete genome"
"Vectrevirus mutPK1A2",NA,"Complete genome"
"Vectrevirus VEc3",NA,"Complete genome"
"Zindervirus BP12B",NA,"Complete genome"
"Zindervirus SP6",NA,"Complete genome"
"Zindervirus UAB78",NA,"Complete genome"
"Ampunavirus BpAMP1",NA,"Complete genome"
"Ampunavirus RSPI1",NA,"Complete genome"
"Higashivirus RSB1",NA,"Complete genome"
"Higashivirus RsoP1IDN",NA,"Complete genome"
"Mguuvirus JG068",NA,"Complete genome"
"Risjevirus RSJ2",NA,"Complete genome"
"Risjevirus RSJ5",NA,"Complete genome"
"Sukuvirus RSPII1",NA,"Complete genome"
"Bucovirus buco",NA,"Complete genome"
"Drulisvirus altogao",NA,"Complete genome"
"Drulisvirus BO1E",NA,"Complete genome"
"Drulisvirus F19",NA,"Complete genome"
"Drulisvirus K244",NA,"Complete genome"
"Drulisvirus Kp2",NA,"Complete genome"
"Drulisvirus KP34",NA,"Complete genome"
"Drulisvirus KPRio2015",NA,"Complete genome"
"Drulisvirus KpS2",NA,"Complete genome"
"Drulisvirus KpV41",NA,"Complete genome"
"Drulisvirus KpV48",NA,"Complete genome"
"Drulisvirus KpV71",NA,"Complete genome"
"Drulisvirus KpV74",NA,"Complete genome"
"Drulisvirus KpV475",NA,"Complete genome"
"Drulisvirus KPV811",NA,"Complete genome"
"Drulisvirus minorna",NA,"Complete genome"
"Drulisvirus myPSH1235",NA,"Complete genome"
"Drulisvirus SFN6B",NA,"Complete genome"
"Drulisvirus SU503",NA,"Complete genome"
"Drulisvirus SU552A",NA,"Complete genome"
"Koutsourovirus KDA1",NA,"Complete genome"
"Novosibovirus PM16",NA,"Complete genome"
"Novosibovirus PM75",NA,"Complete genome"
"Aarhusvirus dagda",NA,"Complete genome"
"Aarhusvirus katbat",NA,"Complete genome"
"Aarhusvirus luksen",NA,"Complete genome"
"Aarhusvirus mysterion",NA,"Complete genome"
"Apdecimavirus AP10",NA,"Complete genome"
"Berlinvirus 285P",NA,"Complete genome"
"Berlinvirus A7",NA,"Complete genome"
"Berlinvirus BA14",NA,"Complete genome"
"Berlinvirus berlin",NA,"Complete genome"
"Berlinvirus BP12A",NA,"Complete genome"
"Berlinvirus BSP161",NA,"Complete genome"
"Berlinvirus FE44",NA,"Complete genome"
"Berlinvirus Kvp1",NA,"Complete genome"
"Berlinvirus P483",NA,"Complete genome"
"Berlinvirus P694",NA,"Complete genome"
"Berlinvirus PP74",NA,"Complete genome"
"Berlinvirus PYPS50",NA,"Complete genome"
"Berlinvirus S523",NA,"Complete genome"
"Berlinvirus Yepe2",NA,"Complete genome"
"Berlinvirus Yepf",NA,"Complete genome"
"Caroctavirus CR8",NA,"Complete genome"
"Chatterjeevirus ICP3",NA,"Complete genome"
"Chatterjeevirus N4",NA,"Complete genome"
"Chatterjeevirus VP4",NA,"Complete genome"
"Eapunavirus Eap1",NA,"Complete genome"
"Elunavirus L1",NA,"Complete genome"
"Foetvirus SRT7",NA,"Complete genome"
"Ghunavirus 17A",NA,"Complete genome"
"Ghunavirus gh1",NA,"Complete genome"
"Ghunavirus henninger",NA,"Complete genome"
"Ghunavirus KNP",NA,"Complete genome"
"Ghunavirus Pf1ERZ2017",NA,"Complete genome"
"Ghunavirus PPPL1",NA,"Complete genome"
"Ghunavirus PSA2",NA,"Complete genome"
"Ghunavirus Psa17",NA,"Complete genome"
"Ghunavirus shl2",NA,"Complete genome"
"Ghunavirus WRT",NA,"Complete genome"
"Helsettvirus fPS9",NA,"Complete genome"
"Helsettvirus fPS53",NA,"Complete genome"
"Helsettvirus fPS59",NA,"Complete genome"
"Helsettvirus fPS54ocr",NA,"Complete genome"
"Jarilovirus jarilo",NA,"Complete genome"
"Kayfunavirus CR44b",NA,"Complete genome"
"Kayfunavirus Dev2",NA,"Complete genome"
"Kayfunavirus EcoDS1",NA,"Complete genome"
"Kayfunavirus EcpYZU01",NA,"Complete genome"
"Kayfunavirus F",NA,"Complete genome"
"Kayfunavirus GA2A",NA,"Complete genome"
"Kayfunavirus GW1",NA,"Complete genome"
"Kayfunavirus IMM002",NA,"Complete genome"
"Kayfunavirus K1F",NA,"Complete genome"
"Kayfunavirus LM33P1",NA,"Complete genome"
"Kayfunavirus PE31",NA,"Complete genome"
"Kayfunavirus Ro45lw",NA,"Complete genome"
"Kayfunavirus SFPH2",NA,"Complete genome"
